Alpha,T1_Re0.165_M0.04_N9.0, , 
            0, -2.530319e-08, , 
            2,     0.3560448, , 
            4,     0.5360488, , 
            6,     0.6934969, , 
            8,     0.8463393, , 
           10,      1.007681, , 
           12,      1.082483, , 
           14,     0.4767711, , 
           16,     0.4825054, , 
           18,     0.5060396, , 
           20,     0.5317973, , 
           22,     0.5628313, , 
           24,     0.5913791, , 

