Sat1.Earth.RadPer         Sat1.Earth.RadApo         Sat1.Earth.Energy         Sat1.Earth.SMA            Sat1.Earth.SemilatusRectum   Sat1.EarthMJ2000Eq.HX     Sat1.EarthMJ2000Eq.HY     Sat1.EarthMJ2000Eq.HZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     
7000                      32999.99999999998         -9.965011037500005        19999.99999999999         11549.99999999999            0                         -47978.3029051935         47978.3029051935          6999.999999999999         0                         0                         0                         6.854043272170501         6.854043272170501         
6999.999999999998         32999.99999999989         -9.965011037500027        19999.99999999995         11549.99999999999            0                         -47978.3029051935         47978.3029051935          6999.995932649717         6.85404194465661          6.85404194465661          -0.00813469823986542      6.854039289629886         6.854039289629886         
7000.000000000003         33000.00000000001         -9.965011037499998        20000                     11550                        0                         -47978.30290519351        47978.30290519351         6999.934325710162         27.54154683775229         27.54154683775229         -0.03268741171056226      6.853978967644877         6.853978967644877         
6999.999999999999         32999.99999999995         -9.965011037500012        19999.99999999997         11549.99999999999            0                         -47978.3029051935         47978.3029051935          6999.361445633109         85.87889845178368         85.87889845178368         -0.1019190972347169       6.85341806934687          6.85341806934687          
6999.999999999999         32999.99999999995         -9.965011037500012        19999.99999999997         11549.99999999999            0                         -47978.3029051935         47978.3029051935          6994.430020800254         253.6223597873287         253.6223597873287         -0.3008554118333908       6.848592251725597         6.848592251725597         
6999.999999999992         33000.00000000047         -9.965011037499885        20000.00000000023         11550.00000000002            0                         -47978.30290519354        47978.30290519354         6953.19875249457          734.7938099704045         734.7938099704045         -0.8683145166256724       6.808416163321304         6.808416163321304         
6999.999999999968         33000.00000000431         -9.965011037498932        20000.00000000214         11550.00000000022            0                         -47978.30290519396        47978.30290519396         6843.45249035368          1342.031037164258         1342.031037164258         -1.569964071387598        6.702956213814284         6.702956213814284         
7000.00000000007          33000.00000000442         -9.965011037498883        20000.00000000224         11550.00000000037            0                         -47978.30290519427        47978.30290519427         6663.205210328446         1963.982356671228         1963.982356671228         -2.260260264510985        6.534271457934507         6.534271457934507         
7000.000000000376         32999.99999999841         -9.965011037500304        19999.99999999939         11550.00000000041            0                         -47978.30290519436        47978.30290519436         6409.773968627735         2591.624926191193         2591.624926191193         -2.916044322841147        6.306152127996898         6.306152127996898         
7000.000000000914         32999.99999998426         -9.965011037503693        19999.99999999259         11550.00000000028            0                         -47978.3029051941         47978.3029051941          6076.032813966956         3228.824970206557         3228.824970206557         -3.529317568656828        6.020828940823622         6.020828940823622         
7000.000000001594         32999.99999996508         -9.965011037508305        19999.99999998333         11550.00000000003            0                         -47978.30290519357        47978.30290519357         5661.385281537846         3865.694238327966         3865.694238327966         -4.080751666432438        5.688248211128778         5.688248211128778         
7000.000000001884         32999.99999995629         -9.965011037510422        19999.99999997909         11549.99999999989            0                         -47978.30290519328        47978.30290519328         5207.403024238892         4447.091711316239         4447.091711316239         -4.524835435043012        5.349296879324007         5.349296879324007         
7000.000000002024         32999.99999995198         -9.965011037511459        19999.999999977           11549.99999999981            0                         -47978.30290519312        47978.30290519312         4714.222659439214         4989.195688821444         4989.195688821444         -4.884644135391771        5.007794317096987         5.007794317096987         
7000.000000002093         32999.99999994948         -9.965011037512063        19999.99999997579         11549.99999999976            0                         -47978.30290519302        47978.30290519302         4175.31143007103          5506.473968394942         5506.473968394942         -5.177360888338367        4.662957548112878         4.662957548112878         
7000.000000002138         32999.99999994819         -9.965011037512376        19999.99999997516         11549.99999999973            0                         -47978.30290519296        47978.30290519296         3584.938251537278         6006.361123581975         6006.361123581975         -5.412317902309336        4.315267372223678         4.315267372223678         
7000.000000002151         32999.99999994761         -9.965011037512514        19999.99999997488         11549.99999999971            0                         -47978.30290519291        47978.30290519291         2937.602717897874         6492.721052174089         6492.721052174089         -5.595223715238228        3.965844675545049         3.965844675545049         
7000.000000002141         32999.99999994769         -9.9650110375125          19999.99999997491         11549.99999999971            0                         -47978.30290519292        47978.30290519292         2227.285964689761         6967.601367806655         6967.601367806655         -5.730037579693002        3.615918815553716         3.615918815553716         
7000.000000002124         32999.99999994831         -9.965011037512348        19999.99999997522         11549.99999999972            0                         -47978.30290519293        47978.30290519293         1447.490678468244         7431.636177943265         7431.636177943265         -5.819658746440316        3.266837218507775         3.266837218507775         
7000.000000002081         32999.99999994944         -9.965011037512078        19999.99999997576         11549.99999999973            0                         -47978.30290519296        47978.30290519296         591.2833417598799         7884.239893262758         7884.239893262758         -5.866351717386473        2.920052951136934         2.920052951136934         
7000.000000002026         32999.99999995113         -9.965011037511672        19999.99999997658         11549.99999999976            0                         -47978.30290519302        47978.30290519302         -347.866591093451         8323.335656972817         8323.335656972817         -5.872030834652602        2.577369436072035         2.577369436072035         
7000.000000001968         32999.99999995326         -9.965011037511154        19999.99999997762         11549.9999999998             0                         -47978.30290519311        47978.30290519311         -1374.725886463396        8745.07314236996          8745.07314236996          -5.83863438581663         2.241160860261188         2.241160860261188         
7000.000000001886         32999.99999995559         -9.965011037510594        19999.99999997874         11549.99999999986            0                         -47978.30290519322        47978.30290519322         -2490.662121992725        9143.777379416544         9143.777379416544         -5.768568254590893        1.914431094708432         1.914431094708432         
7000.00000000184          32999.99999995811         -9.965011037509978        19999.99999997998         11549.99999999992            0                         -47978.30290519336        47978.30290519336         -3693.699921179601        9512.736982110871         9512.736982110871         -5.66494897874437         1.600256348055409         1.600256348055409         
