2459574.034134074, A.D. 2021-Dec-25 12:49:09.1840,  6.728921289569278E+03, -4.068859260684058E+03,  1.226259792839857E+03,  8.191729333718120E+00,  4.953026329894315E+00, -2.791582910488698E+00,  2.654669605060867E-02,  7.958499260790865E+03,  3.963703199062263E+00,
2459574.284134074, A.D. 2021-Dec-25 18:49:09.1840,  2.981422889334260E+04,  7.496456908627201E+04, -3.477889225983597E+04,  1.590493968785464E-01,  2.635757687785645E+00, -1.152304155375463E+00,  2.930460000197863E-01,  8.785298065299976E+04,  2.759226091968140E+00,
2459574.534134074, A.D. 2021-Dec-26 00:49:09.1840,  3.068403421962322E+04,  1.244655779853349E+05, -5.622946330556237E+04, -3.357151404215848E-02,  2.036205895302049E+00, -8.772509423918343E-01,  4.669294806009162E-01,  1.399819367020119E+05,  2.155526569742741E+00,
2459574.784134074, A.D. 2021-Dec-26 06:49:09.1840,  2.917320363350517E+04,  1.651813401305522E+05, -7.369869225666355E+04, -9.726032857551177E-02,  1.757172812602409E+00, -7.511391462590569E-01,  6.111368348964737E-01,  1.832142139079540E+05,  1.870885070139423E+00,
2459575.034134074, A.D. 2021-Dec-26 12:49:09.1840,  2.671966580493936E+04,  2.009422979112611E+05, -8.894516550219496E+04, -1.266884436025809E-01,  1.565872569442413E+00, -6.659408900715337E-01,  7.383981289114820E-01,  2.213661900489740E+05,  1.673684595039942E+00,
2459575.284134074, A.D. 2021-Dec-26 18:49:09.1840,  2.382247879907669E+04,  2.332939723542351E+05, -1.026901788827782E+05, -1.421403141313236E-01,  1.427505198743099E+00, -6.048192480924980E-01,  8.539427218662915E-01,  2.560055875795059E+05,  1.530244805332284E+00,
2459575.534134074, A.D. 2021-Dec-27 00:49:09.1840,  2.064312612452368E+04,  2.629363972619123E+05, -1.152277066290349E+05, -1.514448843687563E-01,  1.321292066681824E+00, -5.579035557131869E-01,  9.600569912800493E-01,  2.878178452359305E+05,  1.419562525058943E+00,
2459575.784134074, A.D. 2021-Dec-27 06:49:09.1840,  1.730652160626729E+04,  2.905202563841337E+05, -1.268567068414182E+05, -1.570298678477201E-01,  1.235568516300476E+00, -5.200958065216649E-01,  1.059002487278296E+00,  3.174809586892740E+05,  1.329899230289418E+00,
2459576.034134074, A.D. 2021-Dec-27 12:49:09.1840,  1.387561764516303E+04,  3.164156154469032E+05, -1.377411868273384E+05, -1.603507693978765E-01,  1.164160327715983E+00, -4.886115505254781E-01,  1.152047565484233E+00,  3.453751713894342E+05,  1.254969990260377E+00,
2459576.284134074, A.D. 2021-Dec-27 18:49:09.1840,  1.038923126864301E+04,  3.408871888031503E+05, -1.479987595973909E+05, -1.622186136302986E-01,  1.103261985969500E+00, -4.617517574367224E-01,  1.240103401150924E+00,  3.717736468051955E+05,  1.190889245014132E+00,
2459576.534134074, A.D. 2021-Dec-28 00:49:09.1840,  6.873794205759409E+03,  3.641373824403554E+05, -1.577161582123857E+05, -1.634894653807852E-01,  1.052929841311296E+00, -4.394456907297836E-01,  1.323865714978035E+00,  3.968849567551925E+05,  1.137848642955849E+00,
2459576.784134074, A.D. 2021-Dec-28 06:49:09.1840,  3.339244791788769E+03,  3.863676710834691E+05, -1.669810299570064E+05, -1.636896178585529E-01,  1.006366017155750E+00, -4.188176646027384E-01,  1.404038567134202E+00,  4.209201731679605E+05,  1.088603799036309E+00,
2459577.034134074, A.D. 2021-Dec-28 12:49:09.1840, -1.941475742292698E+02,  4.076489415134859E+05, -1.758248485841091E+05, -1.634088262326760E-01,  9.648873531199147E-01, -4.003836415643165E-01,  1.480859574167163E+00,  4.439505316924070E+05,  1.044630862343970E+00,
2459577.284134074, A.D. 2021-Dec-28 18:49:09.1840, -3.717553109096844E+03,  4.280807826974504E+05, -1.842904579211000E+05, -1.627841935501942E-01,  9.275824392696074E-01, -3.837395355965786E-01,  1.554673327729488E+00,  4.660793383070627E+05,  1.004989648206025E+00,
2459577.534134074, A.D. 2021-Dec-29 00:49:09.1840, -7.224471286309074E+03,  4.477436613095669E+05, -1.924130596428819E+05, -1.619297541815331E-01,  8.937378040927136E-01, -3.685842328343011E-01,  1.625759250331731E+00,  4.873903617731870E+05,  9.689475839702176E-01,
2459577.784134074, A.D. 2021-Dec-29 06:49:09.1840, -1.071108698483743E+04,  4.667101793954078E+05, -2.002222279253082E+05, -1.608816287101923E-01,  8.628643625762209E-01, -3.546738604107390E-01,  1.694367902658107E+00,  5.079587182941785E+05,  9.359902133113682E-01,
2459578.034134074, A.D. 2021-Dec-29 12:49:09.1840, -1.417365770117457E+04,  4.850376282792366E+05, -2.077426454834451E+05, -1.597088881418410E-01,  8.345191510661714E-01, -3.418280596369949E-01,  1.760698416023654E+00,  5.278441059364377E+05,  9.056634505001435E-01,
2459578.284134074, A.D. 2021-Dec-29 18:49:09.1840, -1.760990358263703E+04,  5.027771572998397E+05, -2.149957907641368E+05, -1.584518811565975E-01,  8.083594536989840E-01, -3.298967685393077E-01,  1.824928429088714E+00,  5.470997794305843E+05,  8.776121380989217E-01,
2459578.534134074, A.D. 2021-Dec-30 00:49:09.1840, -2.101837237891733E+04,  5.199727130281829E+05, -2.219999938070635E+05, -1.571411539588275E-01,  7.841112083057501E-01, -3.187604892277078E-01,  1.887210588724053E+00,  5.657715011572110E+05,  8.515524540164513E-01,
2459578.784134074, A.D. 2021-Dec-30 06:49:09.1840, -2.439819803735760E+04,  5.366628088067073E+05, -2.287712235474149E+05, -1.558009228274538E-01,  7.615477796133395E-01, -3.083208404623815E-01,  1.947678767120801E+00,  5.838994049895545E+05,  8.272496323981366E-01,
