1000/T (K^-1),Delay (msec)
1.131,0.324
1.138,0.329
1.15,0.302
1.151,0.302
1.2131,1.448
1.229,1.985
1.2442,1.389
1.261,2.336
1.2678,2.198
1.3673,39.852
1.3845,35.457
1.3921,42.601
1.3925,46.55
1.3938,45.772
1.4058,68.579
1.4202,66.84
1.4905,274.126
1.502,275.595
1.5229,904.583
1.5415,573.406
1.5524,1577.019
1.6555,13059.115
1.691,12375.657
1.715,58897.961
1.7435,77129.071
1.8184,603949.44
1.8276,599220.508
