Sat1.Earth.SMA            Sat1.Earth.ECC            Sat1.Earth.RadPer         Sat1.Earth.Energy         Sat1.Earth.HMAG           Sat1.Earth.RMAG           Sat1.EarthMJ2000Eq.VMAG   Sat1.Earth.TA             Sat1.EarthMJ2000Eq.FPA    Sat1.Earth.Altitude       
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784595013         
642590.0000000221         0.9851000000000006        9574.590999999917         -0.3101514507695313       87040.26367255006         9582.296774031272         9.087071850160262         3.262275666192927         88.38110866397372         3204.180338960658         
642590.0000016857         0.9851000000000393        9574.590999999877         -0.3101514507687284       87040.26367255057         9651.652602796967         9.054117429351271         10.29178870778714         84.8928344963128          3273.694983029499         
642590.0000020537         0.9851000000000479        9574.590999999797         -0.3101514507685508       87040.26367255094         9799.518899514043         8.985027526455625         17.49428852769578         81.31902594213135         3421.879260790147         
642590.0000005374         0.9851000000000124        9574.591000000033         -0.3101514507692826       87040.26367255088         10019.5626741908          8.885051270463602         24.42439354824428         77.88088069549349         3642.358786698608         
642589.9999968718         0.9850999999999269        9574.591000000348         -0.3101514507710519       87040.26367255043         10321.57263509547         8.753060884438382         31.33255150944266         74.45433468830268         3944.904224724137         
642589.999985654          0.9850999999996651        9574.591000001428         -0.3101514507764662       87040.26367254865         10743.5954472057          8.578002478948269         38.67204572868333         70.81488438695233         4367.571673908706         
642589.9999808843         0.9850999999995542        9574.591000001628         -0.3101514507787684       87040.26367254787         11220.68806098995         8.39208628732961          45.22075428168519         67.56872932216308         4845.271717284075         
642589.9999793679         0.9850999999995191        9574.591000001579         -0.3101514507795002       87040.26367254759         11731.9974434932          8.205528056229053         50.99140416787414         64.70938434080715         5357.11536147982          
642589.9999787791         0.9850999999995051        9574.591000001796         -0.3101514507797845       87040.2636725475          12292.52419319492         8.014498965142662         56.3273945718658          62.06654556819041         5918.115663664853         
642589.9999785436         0.9850999999994996        9574.591000001854         -0.3101514507798981       87040.26367254747         12913.91313942571         7.817393102780692         61.3849636635626          59.56278960865411         6539.920003779614         
642589.9999785363         0.9850999999994996        9574.591000001743         -0.3101514507799017       87040.2636725475          13606.65509176285         7.613720432884947         66.24307538457018         57.1590414289613          7233.018073540927         
642589.9999787423         0.9850999999995043        9574.591000001818         -0.3101514507798022       87040.26367254753         14382.31037792032         7.403307462598029         70.95056688389748         54.83119083361148         8008.968546830512         
642589.9999791766         0.9850999999995145        9574.591000001725         -0.3101514507795926       87040.26367254765         15253.65454408687         7.186281404703546         75.53716733973179         52.56462182508363         8880.545416080799         
642589.9999797802         0.9850999999995288        9574.591000001516         -0.3101514507793013       87040.26367254779         16232.14846480979         6.963631651162824         80.00841375655924         50.35670323824693         9859.208283885313         
642589.9999805309         0.9850999999995459        9574.591000001714         -0.3101514507789389       87040.26367254797         17322.01618647153         6.738108364347262         84.33468667808478         48.22215655601489         10949.18114487987         
642589.9999812081         0.9850999999995617        9574.591000001674         -0.3101514507786121       87040.26367254814         18519.19673529064         6.513598715752599         88.46930203388906         46.18406050349321         12146.4063148094          
642589.9999817087         0.9850999999995733        9574.591000001643         -0.3101514507783705       87040.26367254823         19821.97590470685         6.29267273869211          92.39343617281742         44.25168114068369         13449.17645777347         
642589.9999827907         0.9850999999995984        9574.591000001639         -0.3101514507778482       87040.2636725484          21406.61315526742         6.051492907854604         96.53528393782494         42.21448410448461         15033.75009971555         
642589.9999830188         0.9850999999996037        9574.591000001616         -0.3101514507777381       87040.26367254842         22977.24957255119         5.837373022554264         100.1034008176311         40.46174862157596         16604.28816633209         
642589.9999831661         0.9850999999996078        9574.59100000117          -0.310151450777667        87040.26367254835         24866.66648159945         5.607023638229774         103.8409329993709         38.62839302162988         18493.56055557261         
642589.9999829526         0.9850999999996027        9574.59100000127          -0.3101514507777701       87040.26367254819         26919.08722458759         5.38464522302148          107.3606177307553         36.90470161638054         20545.8085493701          
642589.9999824743         0.9850999999995916        9574.591000001277         -0.310151450778001        87040.2636725479          29121.81632624431         5.172464942622537         110.6463011029649         35.29844344235385         22748.34663475048         
642589.999981889          0.9850999999995778        9574.591000001476         -0.3101514507782834       87040.2636725476          31480.51317150852         4.970244217579317         113.7181766211724         33.79956096830139         25106.84117329578         
642589.9999812449         0.985099999999563         9574.591000001366         -0.3101514507785944       87040.26367254727         34006.0947640458          4.777298355118516         116.599830932541          32.39637036735687         27632.214260917           
642589.9999806082         0.9850999999995483        9574.591000001297         -0.3101514507789016       87040.26367254696         36711.38831389439         4.592935177874163         119.3120829670579         31.07857892586865         30337.29692917523         
642589.9999799826         0.9850999999995338        9574.591000001321         -0.3101514507792036       87040.26367254663         39610.68587715077         4.416514649055519         121.8727535222818         29.83739271580788         33236.38410788406         
642589.9999793827         0.9850999999995197        9574.591000001443         -0.3101514507794931       87040.26367254634         42719.3236219453          4.247477124020628         124.2967793308338         28.66545429914161         36344.8141417406          
642589.9999788086         0.9850999999995061        9574.591000001592         -0.3101514507797702       87040.26367254603         46053.50974375704         4.085341449371812         126.5966476802213         27.5566245198983          39678.79687619154         
642589.999978262          0.9850999999994937        9574.591000001437         -0.310151450780034        87040.26367254573         49630.44593679077         3.929686471622348         128.7829622731433         26.50570235964615         43255.53523819561         
642589.9999777505         0.9850999999994821        9574.591000001306         -0.3101514507802809       87040.26367254546         53468.38478152546         3.780140068473576         130.8648200515811         25.50823802476468         47093.28271112859         
