Sat1.Earth.EA             Sat1.ElapsedDays          Sat1.Earth.MA             Sat1.Earth.OrbitPeriod    Sat1.Earth.RMAG           Sat1.EarthMJ2000Eq.VMAG   Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.FPA    Sat1.Earth.TA             
227.8239742201349         0                         253.3006204634768         453415.8189517688         178950.9024995436         1.153307171817056         0.8810382912635342        0.7412445372022063        -0.06667456756496955      13353.66685000691         -158511.404929191         -81970.96799742118        119.0659269504716         205                       
227.8579357924123         0.0006944444430700969     253.3482588543251         453415.818951769          178917.2726332009         1.153670135712635         0.8809824353542274        0.7419061582764018        -0.06633236724325942      13406.52747306626         -158466.9104092632        -81974.95820651342        119.0789863689297         205.0193690571728         
227.9652088503129         0.002887100505176932      253.4986734875464         453415.818951769          178810.9288727518         1.154818040326669         0.8808044172288996        0.7439964077531103        -0.06525051803974609      13573.40879401005         -158326.1616736803        -81987.42213124305        119.1201587564655         205.080573258088          
228.316134485463          0.01005087613884825       253.990103358335          453415.818951769          178461.7901707036         1.15858832838839          0.8802051592889193        0.7508386941789605        -0.06170127683123246      14118.39881964742         -157863.5484565829        -82026.71171269585        119.2540213861997         205.2810475848271         
229.5062872822172         0.03424158460256876       255.6495686099951         453415.818951769          177263.5572949157         1.171547079159878         0.8779782510957808        0.7740941792884972        -0.0495474609087343       15955.82358228398         -156269.9754996717        -82143.01672078327        119.6986161995254         205.9639032387162         
231.0558936945808         0.06549158460256876       257.7932961981659         453415.8189517688         175671.3724989039         1.188815872783491         0.8746206315844206        0.8044893340062393        -0.03344909055624946      18321.95678305559         -154138.9789701965        -82255.16504945947        120.2558515203815         206.8600231886322         
232.6198343249025         0.09674158460256876       259.9370237863369         453415.8189517689         174028.7856062402         1.20669620873631          0.8706935339335591        0.8352984613731435        -0.0168816637963746       20678.26254425069         -151925.3605388484        -82323.21970668239        120.7936155441399         207.7727989712675         
234.1988387153466         0.1279915846025688        262.0807513745077         453415.818951769          172335.2615500955         1.225206688441329         0.8661647508237879        0.8665391058412666        0.0001785484557144777     23023.16043969649         -149627.978931798         -82345.88257887102        121.3116880625952         208.7032435847885         
235.793676127961          0.1592415846025688        264.2244789626786         453415.8189517687         170590.2453691216         1.24436762743918          0.860999060111315         0.8982294247358179        0.01775700551353589       25354.97908185559         -147245.6446787618        -82321.7891811858         121.8098334096105         209.6524419218637         
237.405158912072          0.1904915846025688        266.3682065508495         453415.8189517686         168793.1621300545         1.264201197779714         0.8551579013005206        0.9303881891148851        0.03588105163561494       27671.94755396923         -144777.1184555242        -82249.50378055997        122.2877961874342         210.6215579791653         
239.0341462127179         0.2217415846025688        268.5119341390202         453415.8189517686         166943.4169589742         1.284731585103837         0.848599009402853         0.9630347766708343        0.05458008727064356       29972.1859124899          -142221.1094344052        -82127.51407909543        122.7452966982631         211.611842935551          
240.6815480623886         0.2529915846025688        270.6556617271912         453415.8189517688         165040.3952103326         1.305985162306084         0.8412759997200141        0.996189154282094         0.07388575877303295       32253.69463625207         -139576.2736672637        -81954.22541062358        123.1820260282579         212.6246442247072         
242.3483299043515         0.2842415846025688        272.7993893153621         453415.8189517691         163083.4628094985         1.327990681912171         0.8331378959753878        1.029871847193088         0.09383216876079765       34514.34287992187         -136841.2125329007        -81727.954397683          123.5976407211055         213.6614157490467         
244.0355176028201         0.3154915846025688        274.9431169035329         453415.8189517691         161071.9668127817         1.350779489580805         0.8241285928912001        1.06410389099967          0.1144561095386102        36751.85536707291         -134014.4712899239        -81446.92200996779        123.9917569664398         214.7237294066318         
245.744203003314          0.3467415846025688        277.0868444917039         453415.818951769          159005.2362390659         1.374385761448142         0.8141862427261999        1.098906761599389         0.1357973222781862        38963.79773212529         -131094.5377877783        -81109.2459583982         124.3639442145821         215.8132881326876         
247.475550115974          0.3779915846025688        279.2305720798748         453415.8189517688         156882.5832398037         1.398846768378731         0.8032425533966047        1.134302276967537         0.1578987849313115        41147.5600895964          -128079.8414033944        -80712.93235131726        124.7137181126768         216.931940692894          
249.2308020055582         0.4092415846025688        281.3742996680456         453415.8189517686         154703.3046898647         1.42420317056977          0.7912219835371809        1.170312462959109         0.1808070321394014        43300.33857272773         -124968.7522896331        -80255.86653089347        125.0405326377748         218.0816985083695         
251.0112884846041         0.4404915846025688        283.5180272562164         453415.8189517684         152466.6843013728         1.450499346375131         0.7780408171415726        1.206959373205699         0.2045725106832801        45419.11454045716         -121759.5810455232        -79735.80299861533        125.3437712790352         219.2647548436279         
252.8184347211281         0.4717415846025688        285.6617548443873         453415.8189517687         150171.9953873016         1.477783759668042         0.7636060971571432        1.244264850432789         0.2292499742650286        47500.6311005608          -118450.5789486465        -79150.35432885081        125.6227370930732         220.4835067507308         
254.6537708895713         0.5029915846025688        287.8054824325582         453415.8189517686         147818.5044325641         1.506109370537048         0.7478143934864608        1.282250212978712         0.2548989215944771        49541.36653596818         -115039.9389288277        -78496.97895894098        125.8766414224506         221.740580237734          
256.5189430139137         0.5342415846025688        289.949210020729          453415.8189517684         145405.4756694079         1.535534094591585         0.7305503761303275        1.320935845701652         0.2815840818112709        51537.50414880204         -111525.797512008         -77772.96773345853        126.1045910260169         223.0388592202779         
