Sat4.Earth.SMA            Sat4.Earth.ECC            Sat4.Earth.RadPer         Sat4.Earth.Energy         Sat4.Earth.HMAG           Sat4.Earth.RMAG           Sat4.EarthMJ2000Eq.VMAG   Sat4.Earth.TA             Sat4.EarthMJ2000Eq.FPA    Sat4.Earth.Altitude       
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
642590.0000000516         0.9851000000000013        9574.590999999928         -0.3101514507695171       87040.26367255008         9574.590999999917         9.090755278481435         0                         90                        3196.454784138133         
