Time,GMSL (mm),GMSL uncertainty (mm)
1966.0417,-40.9,6.5
1966.125,-42.9,6.5
1966.2083,-45.4,6.4
1966.2917,-47.5,6.5
1966.375,-48.6,6.5
1966.4583,-48.9,6.5
1966.5417,-47.1,6.5
1966.625,-46.7,6.5
1966.7083,-46.7,6.6
1966.7917,-48.1,6.6
1966.875,-51.5,6.6
1966.9583,-49.3,6.6
1967.0417,-50.5,6.6
1967.125,-50.2,6.6
1967.2083,-52.5,6.6
1967.2917,-50.9,6.5
1967.375,-49.4,6.6
1967.4583,-44.6,6.5
1967.5417,-44,6.5
1967.625,-42,6.5
1967.7083,-41.7,6.5
1967.7917,-41,6.5
1967.875,-40.4,6.5
1967.9583,-40.1,6.6
1968.0417,-39.6,6.7
1968.125,-42,6.7
1968.2083,-48,6.7
1968.2917,-53,6.7
1968.375,-56.7,6.7
1968.4583,-55.3,6.7
1968.5417,-50.9,6.7
1968.625,-43.5,6.7
1968.7083,-39.6,6.7
1968.7917,-36,6.7
1968.875,-35.7,6.7
1968.9583,-37.4,6.9
1969.0417,-35.8,6.9
1969.125,-37.2,6.9
1969.2083,-36.2,7
1969.2917,-37.4,7
1969.375,-38.6,7
1969.4583,-39.1,7
1969.5417,-41.1,7
1969.625,-38.9,7
1969.7083,-37.9,7
1969.7917,-36.5,7
1969.875,-37.9,7
1969.9583,-39.4,7
1970.0417,-38.8,7
1970.125,-37.6,7
1970.2083,-38.2,7
1970.2917,-41.1,6.9
1970.375,-41.3,6.9
1970.4583,-41,6.9
1970.5417,-42.6,6.9
1970.625,-41.9,7
1970.7083,-42.4,7
1970.7917,-38.7,7
1970.875,-38.6,7
1970.9583,-37.1,7
1971.0417,-34.9,7
1971.125,-31.7,7
1971.2083,-30.7,7
1971.2917,-31.4,6.9
1971.375,-35.2,6.9
1971.4583,-37.7,6.9
1971.5417,-38.5,6.9
1971.625,-36.5,6.9
1971.7083,-33.1,6.9
1971.7917,-33.5,6.9
1971.875,-35.9,6.9
1971.9583,-37.6,6.9
1972.0417,-34,6.9
1972.125,-29.2,6.9
1972.2083,-25.3,7.1
1972.2917,-24.6,7.1
1972.375,-22.6,6.9
1972.4583,-20.2,6.9
1972.5417,-19.1,6.9
1972.625,-23.1,6.9
1972.7083,-25.7,6.9
1972.7917,-27.9,6.9
1972.875,-26.9,6.9
1972.9583,-28.5,6.9
1973.0417,-33.2,6.9
1973.125,-33.6,6.9
1973.2083,-34.6,6.9
1973.2917,-31.7,6.9
1973.375,-33.8,6.9
1973.4583,-32.7,6.8
1973.5417,-34.4,6.8
1973.625,-34.4,6.8
1973.7083,-34.5,6.8
1973.7917,-31.6,6.8
1973.875,-24.7,6.8
1973.9583,-19.9,6.8
1974.0417,-15.4,6.8
1974.125,-16.5,6.8
1974.2083,-17.6,6.8
1974.2917,-17.4,6.8
1974.375,-17.7,6.8
1974.4583,-18.3,6.8
1974.5417,-20.4,6.8
1974.625,-22.1,6.8
1974.7083,-23,6.8
1974.7917,-23.8,6.8
1974.875,-22.6,6.8
1974.9583,-21.8,6.8
1975.0417,-21.1,6.8
1975.125,-20.2,6.8
1975.2083,-18.7,6.8
1975.2917,-20,6.7
1975.375,-21.3,6.7
1975.4583,-23.4,6.7
1975.5417,-23.4,6.7
1975.625,-22,6.7
1975.7083,-21.3,6.7
1975.7917,-20.7,6.7
1975.875,-20.5,6.8
1975.9583,-22.7,6.8
1976.0417,-22.9,6.8
1976.125,-25.7,6.8
1976.2083,-24.4,6.8
1976.2917,-23.2,6.8
1976.375,-22.5,6.8
1976.4583,-20.4,6.8
1976.5417,-21.6,6.8
1976.625,-23.5,6.8
1976.7083,-22.2,6.8
1976.7917,-22.6,6.7
1976.875,-19.7,6.7
1976.9583,-19.5,6.7
1977.0417,-20.9,6.7
1977.125,-23.6,6.7
1977.2083,-25.4,6.7
1977.2917,-27.6,6.7
1977.375,-27.1,6.7
1977.4583,-26.5,6.6
1977.5417,-25.5,6.6
1977.625,-24.8,6.6
1977.7083,-23.8,6.5
1977.7917,-23.1,6.5
1977.875,-21,6.5
1977.9583,-18.3,6.6
1978.0417,-15.7,6.6
1978.125,-12,6.6
1978.2083,-13,6.6
1978.2917,-13.3,6.6
1978.375,-17,6.6
1978.4583,-18.5,6.6
1978.5417,-19.9,6.7
1978.625,-18.3,6.7
1978.7083,-18,6.7
1978.7917,-17.7,6.7
1978.875,-22.2,6.7
1978.9583,-25.2,6.7
1979.0417,-28,6.7
1979.125,-26.9,6.7
1979.2083,-25.8,6.7
1979.2917,-26.1,6.7
1979.375,-27.5,6.7
1979.4583,-27.1,6.7
1979.5417,-24.7,6.7
1979.625,-19.9,6.7
1979.7083,-17.3,6.7
1979.7917,-14.9,6.7
1979.875,-17.2,6.5
1979.9583,-15,6.5
1980.0417,-15.2,6.5
1980.125,-14.1,6.5
1980.2083,-16.1,6.4
1980.2917,-15.8,6.5
1980.375,-16.1,6.5
1980.4583,-16.7,6.5
1980.5417,-19.2,6.6
1980.625,-21,6.6
1980.7083,-21,6.6
1980.7917,-19.2,6.6
1980.875,-14,6.6
1980.9583,-9.9,6.6
1981.0417,-7.8,6.5
1981.125,-6.8,6.5
1981.2083,-5,6.6
1981.2917,-4,6.6
1981.375,-2.7,6.6
1981.4583,-2.2,6.5
1981.5417,-3.9,6.5
1981.625,-3.1,6.4
1981.7083,-4.1,6.4
1981.7917,-2,6.4
1981.875,-2.9,6.4
1981.9583,-4.4,6.4
1982.0417,-8.2,6.4
1982.125,-9.3,6.4
1982.2083,-10.6,6.4
1982.2917,-13.1,6.4
1982.375,-13.5,6.4
1982.4583,-14.7,6.3
1982.5417,-15.8,6.3
1982.625,-14.4,6.3
1982.7083,-10.3,6.3
1982.7917,-4.7,6.2
1982.875,-2.1,6.2
1982.9583,-1.6,6.4
1983.0417,0.2,6.4
1983.125,-0.5,6.5
1983.2083,1.1,6.5
1983.2917,4.3,6.5
1983.375,7.5,6.5
1983.4583,6,6.5
1983.5417,1.8,6.5
1983.625,-5.9,6.4
1983.7083,-6.7,6.4
1983.7917,-9.7,6.5
1983.875,-6.8,6.5
1983.9583,-8.9,6.5
1984.0417,-7.5,6.5
1984.125,-6.3,6.5
1984.2083,-3,6.4
1984.2917,-2.2,6.3
1984.375,-1.2,6.3
1984.4583,1,6.3
1984.5417,0.6,6.3
1984.625,2,6.3
1984.7083,-0.2,6.3
1984.7917,-1.1,6.3
1984.875,-4.4,6.3
1984.9583,-6.4,6.4
1985.0417,-10.4,6.2
1985.125,-9.5,6.2
1985.2083,-11.7,6.2
1985.2917,-11.7,6.2
1985.375,-13.5,6.3
1985.4583,-13.1,6.3
1985.5417,-13.7,6.3
1985.625,-15.4,6.3
1985.7083,-14.6,6.3
1985.7917,-13.9,6.3
1985.875,-12.5,6.3
1985.9583,-12.2,6.3
1986.0417,-10.8,6.3
1986.125,-9.7,6.3
1986.2083,-10.3,6.3
1986.2917,-10.5,6.3
1986.375,-11.8,6.3
1986.4583,-11,6.3
1986.5417,-13.3,6.3
1986.625,-12.5,6.3
1986.7083,-13.5,6.3
1986.7917,-13.9,6.3
1986.875,-14.3,6.2
1986.9583,-13.1,6.2
1987.0417,-11.2,6.2
1987.125,-8.5,6.2
1987.2083,-10.8,6.2
1987.2917,-12.4,6.3
1987.375,-10.9,6.3
1987.4583,-9.3,6.3
1987.5417,-8.2,6.3
1987.625,-13.5,6.3
1987.7083,-15.3,6.2
1987.7917,-16.7,6.2
1987.875,-12.1,6.2
1987.9583,-8.6,6.3
1988.0417,-9.1,6.3
1988.125,-7.8,6.2
1988.2083,-9.9,6.3
1988.2917,-8.2,6.3
1988.375,-8.1,6.3
1988.4583,-6.6,6.3
1988.5417,-6.4,6.3
1988.625,-4.8,6.3
1988.7083,-3.3,6.3
1988.7917,-2.6,6.3
1988.875,-4.9,6.3
1988.9583,-9.4,6.4
1989.0417,-9.4,6.4
1989.125,-8,6.3
1989.2083,-2.4,6.3
1989.2917,-1.6,6.3
1989.375,-1.1,6.3
1989.4583,-3,6.3
1989.5417,-2.7,6.3
1989.625,-1,6.4
1989.7083,0.3,6.4
1989.7917,0.6,6.4
1989.875,1.1,6.4
1989.9583,-0.6,6.4
1990.0417,-0.2,6.5
1990.125,-2.6,6.5
1990.2083,-4.4,6.5
1990.2917,-3.9,6.5
1990.375,-4.1,6.5
1990.4583,0,6.5
1990.5417,-0.2,6.5
1990.625,2.8,6.5
1990.7083,3,6.5
1990.7917,3.8,6.5
1990.875,4.3,6.5
1990.9583,1.6,6.5
1991.0417,3,6.5
1991.125,3.7,6.5
1991.2083,5,6.5
1991.2917,1.4,6.5
1991.375,-1,6.5
1991.4583,-1.4,6.5
1991.5417,1,6.5
1991.625,3.6,6.5
1991.7083,3.8,6.5
1991.7917,4.1,6.5
1991.875,4,6.5
1991.9583,2.9,6.6
1992.0417,5,6.6
1992.125,6,6.6
1992.2083,4.6,6.5
1992.2917,3.1,6.6
1992.375,0.6,6.6
1992.4583,1,6.6
1992.5417,0.3,6.6
1992.625,0.6,6.6
1992.7083,2.2,6.5
1992.7917,5.5,6.5
1992.875,5.1,6.5
1992.9583,4,6.6
1993.0417,2.7,6.6
1993.125,3.8,6.6
1993.2083,6.3,6.6
1993.2917,8.3,6.6
1993.375,8.6,6.6
1993.4583,4.3,6.6
1993.5417,0.6,6.6
1993.625,-2.4,6.6
1993.7083,-5.3,6.6
1993.7917,-4.1,6.6
1993.875,-5.2,6.6
1993.9583,-0.6,6.6
1994.0417,3.4,6.6
1994.125,4,6.6
1994.2083,6,6.6
1994.2917,5.1,6.5
1994.375,7.4,6.5
1994.4583,6.4,6.5
1994.5417,9,6.5
1994.625,8.3,6.5
1994.7083,8,6.5
1994.7917,7.6,6.5
1994.875,5.9,6.6
1994.9583,7.8,6.6
1995.0417,8.6,6.6
1995.125,9.7,6.6
1995.2083,10.4,6.6
1995.2917,8.6,6.6
1995.375,7.7,6.6
1995.4583,6.6,6.6
1995.5417,7.9,6.5
1995.625,7.3,6.5
1995.7083,8.6,6.5
1995.7917,10.1,6.5
1995.875,12.5,6.5
1995.9583,16.3,6.5
1996.0417,16.2,6.6
1996.125,16.1,6.6
1996.2083,11.1,6.6
1996.2917,8.4,6.6
1996.375,7.5,6.6
1996.4583,7.1,6.6
1996.5417,13,6.5
1996.625,15.6,6.6
1996.7083,20.7,6.6
1996.7917,18.1,6.7
1996.875,16,6.7
1996.9583,14.2,6.7
1997.0417,16.5,6.6
1997.125,19.2,6.6
1997.2083,22.8,6.6
1997.2917,23.1,6.6
1997.375,22.7,6.6
1997.4583,22.2,6.6
1997.5417,17.6,6.6
1997.625,17.7,6.6
1997.7083,16.9,6.6
1997.7917,22.1,6.6
1997.875,22,6.7
1997.9583,23.9,6.7
1998.0417,20.4,6.7
1998.125,16.4,6.7
1998.2083,11.5,6.8
1998.2917,7.1,6.9
1998.375,6.5,6.8
1998.4583,7.2,6.8
1998.5417,9.5,6.8
1998.625,10.1,6.8
1998.7083,11.6,6.8
1998.7917,9.9,6.8
1998.875,8.9,6.8
1998.9583,8.9,6.8
1999.0417,12.5,6.8
1999.125,15.8,6.8
1999.2083,20.7,6.7
1999.2917,19.9,6.8
1999.375,21.9,6.8
1999.4583,21.3,6.8
1999.5417,23.2,6.9
1999.625,22.7,7
1999.7083,22.2,7
1999.7917,20.3,6.9
1999.875,16.2,6.9
1999.9583,14,6.9
2000.0417,12.8,6.8
2000.125,15.5,6.8
2000.2083,19.4,6.8
2000.2917,22.2,6.8
2000.375,26.2,6.8
2000.4583,25.9,6.8
2000.5417,27.1,6.8
2000.625,22.4,6.9
2000.7083,20,6.8
2000.7917,16.7,6.8
2000.875,17.8,6.8
2000.9583,19.8,6.8
2001.0417,23.8,6.7
2001.125,24.2,6.7
2001.2083,27,6.7
2001.2917,24.8,6.7
2001.375,25.3,6.7
2001.4583,25.7,6.7
2001.5417,27.1,6.7
2001.625,29.8,6.7
2001.7083,29.9,6.7
2001.7917,27.6,6.7
2001.875,24.5,6.8
2001.9583,22.1,6.8
2002.0417,23.1,6.8
2002.125,24.3,6.8
2002.2083,25.9,6.8
2002.2917,24.9,6.8
2002.375,26.5,6.8
2002.4583,29.2,6.8
2002.5417,29.4,6.8
2002.625,28.5,6.8
2002.7083,30,6.8
2002.7917,31.4,6.8
2002.875,34.2,6.8
2002.9583,32.9,6.8
2003.0417,31.8,6.7
2003.125,30.2,6.8
2003.2083,29.3,6.8
2003.2917,33.5,6.8
2003.375,35.9,6.8
2003.4583,40,6.8
2003.5417,40,7
2003.625,42.4,7
2003.7083,43.6,7.1
2003.7917,44.3,7.1
2003.875,41,6.9
2003.9583,39.3,7
2004.0417,36.3,6.9
2004.125,33.4,6.9
2004.2083,33.9,7
2004.2917,34.9,6.9
2004.375,39.2,6.9
2004.4583,41.5,6.9
2004.5417,40.4,6.9
2004.625,41.6,7
2004.7083,38.6,7
2004.7917,37.3,6.9
2004.875,34.5,6.9
2004.9583,34.6,6.9
2005.0417,36.6,6.8
2005.125,37.2,6.8
2005.2083,36.2,6.9
2005.2917,36.4,6.9
2005.375,37.9,6.8
2005.4583,40,6.8
2005.5417,40.7,6.8
2005.625,39.7,6.8
2005.7083,36.6,6.8
2005.7917,36,6.8
2005.875,34.7,6.8
2005.9583,35.5,6.8
2006.0417,35.2,6.8
2006.125,37.8,6.8
2006.2083,43,6.8
2006.2917,44.7,6.8
2006.375,43.4,6.8
2006.4583,40.8,6.8
2006.5417,40.3,6.8
2006.625,42.2,6.8
2006.7083,43.5,6.8
2006.7917,44.6,6.9
2006.875,44.2,6.9
2006.9583,39.1,7
2007.0417,35.6,7
2007.125,31.4,7
2007.2083,34.3,7.1
2007.2917,38.3,7.1
2007.375,45.5,7.2
2007.4583,49.1,7.2
2007.5417,50.5,7.2
2007.625,50.5,7.3
2007.7083,47.9,7.1
2007.7917,46.5,7
2007.875,46.8,6.9
2007.9583,45.4,6.8
2008.0417,46.5,6.8
2008.125,46.1,6.8
2008.2083,52.5,6.8
2008.2917,56.3,6.8
2008.375,60.1,6.8
2008.4583,60.1,6.8
2008.5417,59.3,6.8
2008.625,55,6.8
2008.7083,50.9,6.8
2008.7917,46.8,6.8
2008.875,46.8,6.8
2008.9583,46,6.9
2009.0417,47.5,6.9
2009.125,46.8,6.9
2009.2083,49,6.9
2009.2917,50.2,6.9
2009.375,55.6,6.9
2009.4583,59.6,6.9
2009.5417,62.7,6.9
2009.625,62.9,6.8
2009.7083,63.6,6.8
2009.7917,63.9,6.8
2009.875,65.6,6.9
2009.9583,68.8,7
2010.0417,67.6,7.1
2010.125,67.6,7.1
2010.2083,63.2,7.1
2010.2917,65,7
2010.375,61.7,7.1
2010.4583,61.8,7.1
2010.5417,61,7.1
2010.625,63.3,7.1
2010.7083,65.2,7.1
2010.7917,68.7,7.1
2010.875,71.1,7.1
2010.9583,72.8,7.4
2011.0417,70.4,7.4
2011.125,68.5,7.4
2011.2083,67.2,7.5
2011.2917,70.6,7.5
2011.375,72.6,7.5
2011.4583,73.2,7.6
2011.5417,72.1,7.6
2011.625,69.3,7.6
2011.7083,67,7.6
2011.7917,62.6,7.6
2011.875,58.7,7.6
2011.9583,55.4,7.7
2012.0417,58.5,7.7
2012.125,63.8,7.7
2012.2083,72.5,8.3
2012.2917,80.4,8.3
2012.375,82,8.4
2012.4583,82.4,8.4
2012.5417,78.1,8.4
2012.625,78.8,8.4
2012.7083,78.6,8.4
2012.7917,80.8,8.4
2012.875,79.4,8.4
2012.9583,77.7,8.8
2013.0417,70.5,8.8
2013.125,65.7,8.8
2013.2083,67,8.8
2013.2917,69.8,8.8
2013.375,72,8.8
2013.4583,71.5,8.8
2013.5417,71.2,8.8
2013.625,71.6,8.8
2013.7083,68.8,8.8
2013.7917,66.4,8.9
2013.875,59.7,9
2013.9583,58.5,9
