 Alpha,T1-13.4 m/s-VLM2, , 
-8,0.1419667, , 
-7.9,0.1402863, , 
-7.8,0.1386027, , 
-7.7,0.1369161, , 
-7.6,0.1352264, , 
-7.5,0.1335336, , 
-7.4,0.1318377, , 
-7.3,0.1301389, , 
-7.2,0.1284371, , 
-7.1,0.1267324, , 
-7,0.1250248, , 
-6.9,0.1233143, , 
-6.8,0.121601, , 
-6.7,0.1198849, , 
-6.6,0.118166, , 
-6.5,0.1164443, , 
-6.4,0.1147199, , 
-6.3,0.1129927, , 
-6.2,0.1112628, , 
-6.1,0.109531, , 
-6,0.1077967, , 
-5.9,0.1060598, , 
-5.8,0.1043202, , 
-5.7,0.1025781, , 
-5.6,0.1008333, , 
-5.5,0.09908603, , 
-5.4,0.09733622, , 
-5.3,0.09558388, , 
-5.2,0.09382904, , 
-5.1,0.09207171, , 
-5,0.09031198, , 
-4.9,0.08855086, , 
-4.8,0.08678816, , 
-4.7,0.0850236, , 
-4.6,0.08325698, , 
-4.5,0.08148824, , 
-4.4,0.07971733, , 
-4.3,0.07794421, , 
-4.2,0.07616895, , 
-4.1,0.07439146, , 
-4,0.07261184, , 
-3.9,0.07083002, , 
-3.8,0.06904605, , 
-3.7,0.06726014, , 
-3.6,0.06547233, , 
-3.5,0.06368258, , 
-3.4,0.06189089, , 
-3.3,0.06009728, , 
-3.2,0.0583017, , 
-3.1,0.05650418, , 
-3,0.05470471, , 
-2.9,0.05290329, , 
-2.8,0.0511, , 
-2.7,0.04929482, , 
-2.6,0.04748776, , 
-2.5,0.04567883, , 
-2.4,0.04386807, , 
-2.3,0.04205547, , 
-2.2,0.04024108, , 
-2.1,0.03842491, , 
-2,0.03660701, , 
-1.9,0.03478738, , 
-1.8,0.03296606, , 
-1.7,0.03114307, , 
-1.6,0.02931843, , 
-1.5,0.02749215, , 
-1.4,0.02566427, , 
-1.3,0.02383479, , 
-1.2,0.02200374, , 
-1.1,0.02017115, , 
-1,0.01833703, , 
-0.9,0.01650139, , 
-0.8,0.01466426, , 
-0.7,0.01282566, , 
-0.6,0.01098561, , 
-0.5,0.009144245, , 
-0.4,0.007301574, , 
-0.3,0.005457622, , 
-0.2,0.003612396, , 
-0.1,0.001765901, , 
0,-8.19E-05, , 
0.1,-0.001930852, , 
0.2,-0.003781041, , 
0.3,-0.005632462, , 
0.4,-0.007485047, , 
0.5,-0.009338818, , 
0.6,-0.01119366, , 
0.7,-0.01304968, , 
0.8,-0.01490694, , 
0.9,-0.01676557, , 
1,-0.0186253, , 
1.1,-0.02048606, , 
1.2,-0.02234787, , 
1.3,-0.02421087, , 
1.4,-0.02607489, , 
1.5,-0.02793989, , 
1.6,-0.0298058, , 
1.7,-0.03167261, , 
1.8,-0.03354034, , 
