22	12	5	4	6	8	10	9	8	6	12	29	60	104	155	196	213	197	156	106	61	30	12	4	1	0	0	3	9	23	50	93	147	199	230	227	192	138	85	45	20	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	13	31	63	106
5	2	1	2	3	3	3	2	3	9	22	45	78	116	147	160	148	117	79	46	22	9	3	1	0	0	2	7	19	41	76	121	163	189	186	157	113	70	37	16	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9	23	45	77	4
2	1	0	0	0	1	0	0	2	6	14	29	50	74	94	102	95	75	51	29	14	6	2	0	0	0	1	5	13	29	53	84	114	132	130	110	79	49	25	11	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	14	28	48	1
0	0	0	0	0	0	0	0	1	3	7	15	27	40	51	56	52	41	28	16	8	3	1	0	0	0	1	3	8	17	32	50	68	79	78	66	47	29	15	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	15	25	0
0	0	0	0	0	0	0	0	0	1	3	7	12	19	24	26	24	19	13	7	3	1	0	0	0	0	0	1	4	8	16	26	35	40	40	33	24	15	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	11	0
0	0	0	0	0	0	0	0	0	0	1	2	5	7	9	10	9	7	5	3	1	0	0	0	0	0	0	0	1	3	7	11	15	17	17	14	10	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0
0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	1	2	4	5	6	6	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	1	1	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	2	4	5	7	7	6	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3	7	11	15	18	18	16	12	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	8	15	25	35	42	42	36	27	17	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
7	16	30	49	68	81	82	71	52	33	18	8	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
12	26	50	82	113	134	136	117	87	55	29	17	8	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9
17	37	71	115	160	190	192	166	123	78	53	31	15	6	2	0	0	0	0	0	0	0	0	0	1	2	3	5	6	6	6	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	17
33	54	86	140	193	229	232	201	152	121	82	48	23	10	3	1	1	1	2	3	3	2	2	1	2	5	9	14	17	18	16	12	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	27
53	87	122	146	200	237	239	216	201	160	109	63	31	13	4	1	3	5	7	9	9	8	6	3	6	13	22	32	39	42	38	29	19	11	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	38
72	119	167	199	204	209	223	243	226	180	122	71	35	15	5	4	8	14	20	23	24	20	15	9	12	25	43	62	77	81	74	57	37	21	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	16	44
85	139	194	233	238	208	215	234	218	174	118	68	34	14	5	10	19	31	43	51	52	45	33	21	21	42	71	103	128	136	123	95	62	35	17	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	21	44
84	138	194	232	237	207	177	193	180	143	97	56	28	12	8	18	35	58	80	95	96	83	61	39	30	60	101	147	182	193	174	135	89	50	24	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	24	37
72	118	165	198	202	177	132	136	126	101	68	40	19	8	13	29	56	91	127	150	152	132	97	61	36	73	123	179	221	234	212	164	108	61	29	12	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	24	27
52	86	120	144	147	129	96	82	76	60	41	24	11	7	18	40	76	124	172	203	206	178	132	83	45	75	128	185	230	243	220	170	112	63	30	12	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	20	17
